id,disasterType,startDate,cleansdate,endDate,cleanedate,lat,lon,Evacuated,Homeless,Injuries,Deaths,Insured Cost,Home(s) damaged,Home(s) destroyed,Building(s) damaged,Building(s) destroyed,Motor Vehicle(s) damaged,Motor Vehicle(s) destroyed,Business(es) damaged,Business(es) destroyed,Crop(s) destroyed,Livestock destroyed,Government assistance,regions
1,Environmental,01/01/1939,01/01/1939,1/16/1939 0:00,1/16/1939,-33.1315155,135.5578918,,,,400,,,,,,,,,,,,,Victoria
1,Environmental,01/01/1939,01/01/1939,1/16/1939 0:00,1/16/1939,-33.1315155,135.5578918,,,,400,,,,,,,,,,,,,New South Wales
1,Environmental,01/01/1939,01/01/1939,1/16/1939 0:00,1/16/1939,-33.1315155,135.5578918,,,,400,,,,,,,,,,,,,South Australia
2,Industrial ,6/13/1989 0:00,6/13/1989,6/13/1989 0:00,6/13/1989,-27.79534912,120.7287598,,,,6,,,,,,,,,,,,,Western Australia
3,Industrial ,7/24/1979 0:00,7/24/1979,7/24/1979 0:00,7/24/1979,-34.19221115,150.7863312,,,,14,,,,,,,,,,,,,New South Wales
4,Transport ,1/18/1977 0:00,1/18/1977,1/18/1977 0:00,1/18/1977,-33.83146286,151.009964,,,210,83,,,,,,,,,,,,,New South Wales
5,Bushfire ,1/13/1939 0:00,1/13/1939,1/14/1939 0:00,1/14/1939,-34.42498398,150.8931274,,,,6,,,,,,,,,,,,,New South Wales
6,Urban Fire ,04/08/1996,04/08/1996,04/08/1996,4/08/1996,-37.81215668,144.9636536,,36,,9,,,,,,,,,,,,,Victoria
7,Bushfire ,04/05/1958,04/05/1958,04/06/1958,4/06/1958,-37.81215668,140.7737122,,,3,8,,,,,,,,,,,,,South Australia
8,Shipwreck ,24/10/1829 00:00:00,24/10/1829,24/10/1829 00:00:00,24/10/1829,-32.24996948,155.6103516,,,,11,,,,,,,,,,,,,New South Wales
9,Transport ,4/28/2006 0:00,4/28/2006,4/28/2006 0:00,4/28/2006,-37.43626022,143.4694214,,,18,2,,,,,,,,,,,,,Victoria
10,Industrial ,05/09/2006,05/09/2006,05/09/2006,5/09/2006,-33.26222992,138.3563232,,,2,3,,,,,,,,,,,,,South Australia
11,Transport ,03/07/2007,03/07/2007,03/07/2007,3/07/2007,-7.789532185,110.4211807,,,12,21,,,,,,,,,,,,,Outside Australia
12,Extreme Weather,03/03/2007,03/03/2007,03/08/2007,3/08/2007,-20.31162643,118.5752563,,,20,3,8000000,,,,,,,,,,,,Western Australia
13,Transport ,3/28/2007 0:00,3/28/2007,3/28/2007 0:00,3/28/2007,-33.8515625,151.2089539,,,8,4,,,,,,,,,,,,,New South Wales
14,Extreme Weather,10/31/2006 0:00,10/31/2006,10/31/2006 0:00,10/31/2006,-32.82806015,151.6847076,,,,,51000000,,,,,10000,,,,,,,New South Wales
15,Transport ,3/23/2007 0:00,3/23/2007,3/23/2007 0:00,3/23/2007,-37.82619095,144.9970398,247,,2,3,,,,,,,,,,,,,Victoria
16,Transport ,06/05/2007,06/05/2007,06/05/2007,6/05/2007,-35.76305389,143.9385834,,,14,11,,,,,,,,,,,,,Victoria
17,Extreme Weather,06/08/2007,06/08/2007,06/10/2007,6/10/2007,-32.92599487,151.7788696,6000,,,9,1480000000,,,,,,,,,,,,New South Wales
18,Extreme Weather,6/27/2007 0:00,6/27/2007,07/02/2007,7/02/2007,-38.2273941,146.7471313,,,,1,15000000,,,,,,,,,,,,Victoria
19,Industrial ,7/31/1902 0:00,7/31/1902,7/31/1902 0:00,7/31/1902,-34.43048859,150.818161,,,,96,,,,,,,,,,,,,New South Wales
20,Shipwreck ,22/04/1887 00:00:00,22/04/1887,22/04/1887 00:00:00,22/04/1887,-18.8387146,120.0476074,,,,140,,,,,,,,,,,,,Western Australia
21,Urban Fire ,9/22/2007 0:00,9/22/2007,9/22/2007 0:00,9/22/2007,-42.88118362,147.3239594,,,,,50000000,,,,1,,,,,,,,Tasmania
22,Bushfire ,12/01/2006,12/01/2006,02/07/2007,2/07/2007,-36.71800995,147.1452179,,,1400,1,,,51,,,,,,,,,,Victoria
